category,dog,cat,other,type,month,year,date
stray,378,409,13,intakes,April,2015,2015-04
owner surrender,237,216,8,intakes,April,2015,2015-04
confiscate,59,27,0,intakes,April,2015,2015-04
wildlife,0,0,95,intakes,April,2015,2015-04
disposal request,36,18,3,intakes,April,2015,2015-04
euthanasia request,51,8,0,intakes,April,2015,2015-04
returns,5,1,0,intakes,April,2015,2015-04
adoption,46,34,0,outcomes,April,2015,2015-04
returned to owner,124,5,0,outcomes,April,2015,2015-04
transfer,282,528,53,outcomes,April,2015,2015-04
euthanasia by request,48,8,0,outcomes,April,2015,2015-04
other euthanasia,215,58,43,outcomes,April,2015,2015-04
died in care,3,7,7,outcomes,April,2015,2015-04
dead on arrival,48,21,13,outcomes,April,2015,2015-04
stray,323,294,2,intakes,April,2016,2016-04
owner surrender,195,193,5,intakes,April,2016,2016-04
confiscate,78,17,2,intakes,April,2016,2016-04
wildlife,0,0,110,intakes,April,2016,2016-04
disposal request,42,18,14,intakes,April,2016,2016-04
euthanasia request,44,12,2,intakes,April,2016,2016-04
returns,3,1,0,intakes,April,2016,2016-04
adoption,44,43,0,outcomes,April,2016,2016-04
returned to owner,109,7,0,outcomes,April,2016,2016-04
transfer,263,389,59,outcomes,April,2016,2016-04
euthanasia by request,40,12,2,outcomes,April,2016,2016-04
other euthanasia,155,32,33,outcomes,April,2016,2016-04
died in care,3,7,4,outcomes,April,2016,2016-04
dead on arrival,52,22,42,outcomes,April,2016,2016-04
stray,255,322,8,intakes,April,2017,2017-04
owner surrender,203,166,3,intakes,April,2017,2017-04
confiscate,63,13,11,intakes,April,2017,2017-04
wildlife,0,0,178,intakes,April,2017,2017-04
disposal request,30,13,4,intakes,April,2017,2017-04
euthanasia request,45,17,0,intakes,April,2017,2017-04
returns,8,2,0,intakes,April,2017,2017-04
adoption,50,52,0,outcomes,April,2017,2017-04
returned to owner,96,12,1,outcomes,April,2017,2017-04
transfer,304,386,121,outcomes,April,2017,2017-04
euthanasia by request,43,16,0,outcomes,April,2017,2017-04
other euthanasia,82,18,44,outcomes,April,2017,2017-04
died in care,1,4,16,outcomes,April,2017,2017-04
dead on arrival,35,19,25,outcomes,April,2017,2017-04
stray,320,235,15,intakes,April,2018,2018-04
owner surrender,219,199,4,intakes,April,2018,2018-04
confiscate,26,17,0,intakes,April,2018,2018-04
wildlife,0,0,127,intakes,April,2018,2018-04
disposal request,39,9,1,intakes,April,2018,2018-04
euthanasia request,55,19,1,intakes,April,2018,2018-04
returns,6,1,0,intakes,April,2018,2018-04
quarantine,15,0,0,intakes,April,2018,2018-04
adoption,89,28,0,outcomes,April,2018,2018-04
strays returned to owner,84,3,4,outcomes,April,2018,2018-04
other returned to owner,31,8,1,outcomes,April,2018,2018-04
transfer,339,425,55,outcomes,April,2018,2018-04
euthanasia by request,47,13,1,outcomes,April,2018,2018-04
other euthanasia,45,25,47,outcomes,April,2018,2018-04
died in care,2,6,18,outcomes,April,2018,2018-04
dead on arrival,37,11,18,outcomes,April,2018,2018-04
stray,320,262,5,intakes,April,2019,2019-04
owner surrender,141,164,7,intakes,April,2019,2019-04
confiscate,22,7,4,intakes,April,2019,2019-04
wildlife,0,0,81,intakes,April,2019,2019-04
disposal request,31,10,3,intakes,April,2019,2019-04
euthanasia request,41,14,0,intakes,April,2019,2019-04
